word,meaning
vertebrate,adj. 脊椎动物的
industrious,adj. 勤勉的
intestine,n. 肠
adj. 内部的
outpost,n. 前哨
general,n. 一般；将军
bother,n. 麻烦；烦恼
vt. 烦扰
consignment,n. 委托
administrator,n. 管理人
convention,n. 大会
organic,adj. [有化] 有机的
trapeze,n. 秋千
intersection,n. 交叉
concept,n. 观念
cardiovascular,adj. [解剖] 心血管的
humble,adj. 谦逊的
lecture,n. 演讲
counter,n. 柜台；对立面；计数器
brass,n. 黄铜
fauna,n. 动物群
expel,vt. 驱逐
equator,n. 赤道
invest,vi. 投资
essay,n. 散文
dedicate,vt. 致力
astrology,n. 占星术
attain,n. 成就
vt. 达到
divisional,adj. 分区的
ambition,n. 野心
range,n. 范围；幅度
ultimate,n. 终极
counsellor,n. 顾问
flap,n. 拍打
wastage,n. 损耗
earthquake,n. 地震
device,n. 装置
regulate,vt. 调节
mould,vi. 发霉
vt. 浇铸
potential,n. 潜能
discretion,n. 自由裁量权
ambitious,adj. 野心勃勃的
brief,n. 摘要
dorm,n. 宿舍（等于dormitory）
substitute,n. 代用品
striking,v. 打（strike的ing形式）
adj. 显著的
pirate,n. 海盗
refrigerator,n. 冰箱
minimise,vt. 使缩到最小
imaginative,adj. 富于想象的
profit,n. 利润
decrepit,adj. 衰老的
ignorant,adj. 无知的
leopard,n. 豹
mastery,n. 掌握
forecast,n. 预测
precision,n. 精度
quote,n. 引用
vi. 报价
comparative,n. 比较级
recruit,n. 招聘
gloss,n. 光彩
committee,n. 委员会
exile,n. 流放
representative,n. 代表；典型；众议员
adj. 典型的
finance,n. 财政
resign,n. 辞去职务
vi. 辞职
vt. 辞职
preparation,n. 预备
eyesight,n. 视力
thrive,vi. 繁荣
judgment,n. 判断
outward,adj. 向外的
consequently,adv. 因此
entertain,vt. 娱乐
withstand,vt. 抵挡
anthropologist,n. 人类学家
comb,n. 梳子
suitably,adv. 适当地


list5
pulley,n. 滑轮
privilege,n. 特权
infrastructure,n. 基础设施
allocate,vt. 分配
trap,n. 陷阱
intern,n. 实习生
repaint,n. 重新油漆的东西
specialist,n. 专家
inlet,n. 入口
censor,n. 检查员；[心理] 潜意识压抑力；信件检查员
vt. 审查
rear,n. 后面
shareholder,n. 股东
bid,n. 出价
alight,adj. 烧着的
credit,n. 信用
shrewd,n. 精明（的人）
conclude,vi. 推断；断定；决定
vt. 推断；决定
explosive,n. 炸药
inherent,adj. 固有的；内在的；与生俱来的
world-wide,adj. 遍及全世界的
grope,n. 摸索
lever,n. 杠杆
ethical,n. 处方药
adj. 伦理的
improvement,n. 改进
vacant,adj. 空虚的
truant,n. 旷课者；懒惰的人
scandal,n. 丑闻
latent,adj. 潜在的
tenant,n. 承租人
psychiatric,adj. 精神病学的
campfire,n. 营火
bolster,n. 支持
immigrant,n. 移民
sequence,n. [数][计] 序列
ecosystem,n. 生态系统
concern,n. 关系；关心；关心的事；忧虑
vt. 涉及
transfer,n. 转让
exotic,adj. 异国的
evaporate,vt. 蒸发，脱水
destiny,n. 命运
hide,n. 躲藏
former,n. 模型
awful,adj. 可怕的
sore,n. 溃疡
virtually,adv. 事实上
tangibly,adv. 可触知地
windscreen,n. 汽车挡风玻璃
decent,adj. 正派的
alluvial,adj. 冲积的
slum,n. 贫民窟
distill,vt. 提取
economical,adj. 经济的
fate,n. 命运
medication,n. 药物
target,n. 目标
independent,n. 独立自主者
radius,n. 半径
fossil,n. 化石；顽固不化的人

shade,n. 树荫
headmaster,n. 校长
wean,n. （苏格兰）幼儿
vt. 使断奶
comprise,vt. 包含
stable,n. 马厩
disappointing,adj. 令人失望的
delta,n. （河流的）三角洲
urban,adj. 城市的
compliment,n. 恭维
execution,n. 执行

list6
heritage,n. 遗产
appropriate,adj. 适当的；恰当的
annual,n. 年刊
depict,vt. 描述
literacy,n. 读写能力
calculate,vt. 计算
luxury,n. 奢侈
souvenir,n. 纪念品
constant,n. [数] 常数
dormancy,n. [生物] 休眠
particular,n. 详细说明
subscription,n. 捐献
pitch,n. 沥青
entitle,vt. 称做…
shutter,n. 快门
demolish,vt. 拆除
durable,adj. 耐用的
cope,n. 长袍
vi. 处理
circulation,n. 流通
tradition,n. 惯例
benefit,n. 利益
decay,n. 衰退
distribution,n. 分布
defect,n. 缺点
oppose,vt. 反对；对抗
statistics,n. 统计
stuffy,adj. 闷热的
approximately,adv. 大约
excusable,adj. 可原谅的
propose,vi. 建议；求婚
ornament,n. 装饰
energetic,adj. 精力充沛的
atmospheric,adj. 大气的
cooperative,n. 合作社，合作的
corrode,vt. 侵蚀
honour,n. 荣誉
except,conj. 除了
soluble,adj. [化学] 可溶的
administration,n. 管理
environment,n. 环境
license,n. 执照
underline,n. 下划线
activate,vt. 刺激
major,adj. 主要的
specific,n. 特性；特效药
objective,adj. 客观的
concentrate,n. 浓缩
conflict,n. 冲突
antidote,n. [药] 解毒剂
discover,vi. 发现
necessarily,adv. 必要地
continent,n. 大陆
turret,n. 炮塔
elastic,n. 松紧带
enhance,vt. 提高
demonstration,n. 示范
interrupt,n. 中断
redundant,adj. 多余的
mishandle,vt. 虐待
discovery,n. 发现
alcohol,n. 酒精
suppression,n. 抑制
mainly,adv. 主要地
crisp,adj. 脆的
guilty,adj. 有罪的
crack,n. 裂缝

list7
flourish,n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣
dimensional,adj. 空间的
gravel,n. 碎石
advertisement,n. 广告
insulation,n. 绝缘；隔离
hesitation,n. 犹豫
undermine,vt. 破坏
eliminate,vt. 消除
exclude,vt. 排除
laundry,n. 洗衣店
apparently,adv. 显然地；似乎
gelatin,n. 明胶
stimulate,vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞
fuel,n. 燃料；刺激因素
vt. 供以燃料
operational,adj. 操作的
image,n. 影像
distribute,vt. 分配
notice board,na. 布告牌

intend,vi. 有打算
vt. 打算
empirical,adj. 经验主义的
probation,n. 试用
depression,n. 沮丧
proximity,n. 接近
attention,n. 注意力
factual,adj. 事实的
acclaim,n. 欢呼
carry,n. 运载；射程

devastate,vt. 毁灭
response,n. 响应
postcode,n. （英）邮政编码
dull,adj. 钝的
basis,n. 基础
tropical,adj. 热带的
rumour,n. 谣言
endeavour,n. 尽力
address,n. 地址
payment,n. 付款
superb,adj. 极好的
intention,n. 意图
demonstrate,vt. 证明
agenda,n. 议程
illuminate,vt. 阐明
slim,adj. 苗条的
warrant,n. 根据
optimism,n. 乐观
rank,n. 排
dimension,n. 方面;[数] 维
avail,vi. 有益于
dioxide,n. 二氧化物
block,n. 块；街区，障碍物
administrative,adj. 管理的
frustrating,
resistant,n. 抵抗者
overdue,adj. 过期的
impressive,adj. 感人的
analysis,n. 分析
verdict,n. 结论
refresher,n. 可提神的人或物
blaze,n. 火焰
misjudge,
pregnant,adj. 怀孕的
unyielding,adj. 不屈的
exterior,n. 外部
approve,vi. 批准
client,n. [经] 客户
vernacular,n. 本地话
compare,vi. 相比
transparent,adj. 透明的
cassette,n. 盒式磁带
deputy,n. 代理人
fraud,n. 欺骗
bind,n. 捆绑
fragrance,n. 香味
marketplace,n. 市场
acute,adj. 严重的
ripe,adj. 熟的
vet,n. 兽医，审查
collate,vt. 核对
infer,vi. 推断
fiction,n. 小说；虚构
ability,n. 能力
sector,n. 部门；扇形
creep,n. 爬行
casual,n. 便装
interpretation,n. 解释
trimester,n. 三个月
consensus,n. 一致
redevelopment,n. 再开发
auditorium,n. 礼堂
condition,n. 条件
furnish,vt. 提供
stabilise,vt. 使…坚固
incoming,n. 进入；到来； incomings 收入
alignment,n. 队列
boot,n. 靴子
ozone layer,n. 臭氧层

acid,n. 酸
booming,adj. 兴旺的
definite,adj. 一定的
deem,vt. 认为
narrator,n. 叙述者
reorient,vt. 使适应
reckon,vi. 估计；计算；猜想
tutorial,n. 辅导的，家庭教师的
reference,n. 参考
sledge,n. 雪橇
exaggerate,vt. 使扩大
restriction,n. 限制
abandon,n. 放任
priority,n. 优先
habitat,n. [生态] 栖息地
encourage,vt. 鼓励
celebrity,n. 名人
significance,n. 意义
magnetic,adj. 地磁的
slippery,adj. 滑的
graphic,adj. 形象的
examine,vt. 检查
opportunity,n. 时机
distinguish,vi. 区别
blanket,n. 毛毯
arrogance,n. 自大
era,n. 时代
stimulus,n. 刺激
roam,n. 漫步
provided,conj. 假如
comparison,n. 比较
depend,vi. 依赖
composition,n. 作文
architecture,n. 建筑学
hurdle,n. 障碍
teamwork,n. 团队合作
damp,n. 潮湿
staff,n. 职员
symbol,n. 象征
apt,adj. 恰当的
homogeneous,adj. 均匀的；同类的
conserve,n. 果酱
spasm,n. [临床] 痉挛
invisible,adj. 无形的
devote,vt. 致力于
illustrate,vi. 举例
vt. 阐明
terrace,n. 平台；梯田；阳台
dynamic,n. 动态
throughout,prep. 贯穿
smart,adj. 聪明的
criticise,vt. 批评
beyond,prep. 超过
hinterland,n. 内地
fumes,n. 烟气
positive,n. 正数， 积极的
assistant,n. 助手
cannon,n. 大炮
hockey,n. 曲棍球
liberty,n. 自由
pesticide,n. 自由；许可
poll,n. 投票
refundable,adj. 可退还的
homesick,adj. 想家的
compassionate,adj. 慈悲的
orientate,vi. 向东
insight,n. 洞察力
resist,n. 抗蚀剂；抵抗；忍耐
glide,vi. 滑翔
casualty,n. 意外事故
belief,n. 相信
concentration,n. 浓度
tug,n. 拖船
proceed,vi. 发生；行进，收入
status,n. 地位
document,n. 文件
mattress,n. 床垫
hostile,n. 敌对，敌对的
intervene,vi. 干涉
promote,vt. 促进
bump,n. 肿块
reunion,n. 重聚；同学会
digestive,n. 助消化药，消化的
homestay,n. （在国外访问者）居家的时期
commit,vt. 犯罪
practically,adv. 实际地
acrobat,n. 杂技演员
revenue,n. 税收
nickel,n. 镍
limp,adj. 柔软的
spit,n. 唾液，吐痰
irregularity,n. 不规则
breeze,n. 微风
avenue,n. 大街；林荫大道，途径
magnify,vt. 放大
hive,n. 蜂房
oxide,n. [化学] 氧化物
calf,n. [解剖] 腓肠
plagiarism,n. 剽窃
gallop,n. 疾驰
pledge,n. 保证
effective,adj. 有效的
appreciate,vi. 增值
deny,vi. 否认；拒绝
union,n. 联盟
conform,adj. 一致的
handy,adj. 便利的；手边的
notify,vt. 通告
splendid,adj. 辉煌的
direction,n. 方向
execute,vt. 实行
witness,n. 证人
elbow,n. 肘部
limited,adj. 有限的，高级快车
vessel,n. 船
private,n. 列兵
stereo,n. 立体声
soak,n. 湿透；大雨， 吸收
stout,n. 矮胖子
greasy,adj. 油腻的
boast,n. 自夸；值得夸耀的事物
swift,n. 褐雨燕，迅速的；敏捷的
ignorance,n. 无知
aesthetic,adj. 美的；美学的；审美的
screen,n. 屏幕，拍电影，放映
absent,adj. 缺席的
scrape,n. 刮掉
promotion,n. 提升
recreation,n. 娱乐
specialise,vt. 使专门化
magnificent,adj. 高尚的
spasmodic,adj. 痉挛的
fund,n. 基金
perceive,vt. 察觉
manufacturer,n. 制造商
specification,n. 规格
schedule,n. 时间表，安排
arrangement,n. 布置
destruction,n. 破坏
extinguisher,n. 灭火器
assume,vt. 僭取
proportion,n. 比例
forth,adv. 向前
referee,n. 裁判员
forgo,vi. 放弃
assistantship,n. 助教奖学金
conversation,n. 交谈
recommendation,n. 推荐
graph,n. 图表
offset,n. 抵消
humanity,n. 人类
intact,adj. 完整的
stripe,n. 条纹
mechanical,adj. 机械的
junction,n. 连接
siesta,n. （西）午睡
detect,vt. 察觉
detour,n. 绕道
arthritis,n. [外科] 关节炎
barrier,n. 障碍物
replace,vt. 取代
justice,n. 司法
diploma,n. 毕业证书
visa,n. 签证， 签发签证

cosmic,adj. 宇宙的（等于cosmical）
extendable,adj. 可延长的
abundance,n. 充裕
supervisor,n. 监督人
jumble,n. 混乱
equip,vt. 装备
permanent,n. 烫发（permanent wave），永久的
embed,vt. 栽种；使嵌入
orientation,n. 方向
deprive,vt. 使丧失
amaze,vt. 使吃惊
dividend,n. 红利
preference,n. 偏爱
contract,n. 合同
uneasy,adj. 不舒服的
automatically,adj. 不经思索的，自动地
female,n. 女人；女性的；雌性的；柔弱的
asset,n. 资产
athlete,n. 运动员
clarity,n. 清楚
swap,n. 交换
sophisticated,adj. 复杂的
bulk,n. 体积
machinery,n. 机械
intimate,n. 知己
restrict,vt. 限制
waist,n. 腰
calibre,n. [军] 口径
harsh,adj. 严厉的
parliament,n. 议会
flight,n. 飞行
remind,vt. 提醒
aquarium,n. 水族馆
cell,n. 细胞
dweller,n. 居民
declare,vt. 宣布
suitcase,n. [轻] 手提箱
graduate,n. 研究生
predict,vi. 作出预言；作预料
headquarters,n. 总部
coverage,n. 覆盖
enforce,vt. 实施
specialty,n. 专业
intrinsic,adj. 本质的
medical,adj. 医学的
stick,n. 棍；手杖；坚持， 刺
realistic,adj. 现实的
indifferent,adj. 漠不关心的；无关紧要的
retailer,n. 零售商
turnover,n. 翻覆
brand,n. 商标
accompany,vt. 陪伴
cheat,n. 欺骗
mention,vt. 提到
level,n. 水平
lateral,adj. 侧面的
dense,adj. 稠密的
flash,n. 闪光
snack,n. 小吃
marvellous,adj. 不可思议的
export,n. 输出
tribute,n. 礼物；[税收] 贡物；颂词
sanitary,n. 公共厕所， 卫生的
submit,vi. 提交
archive,n. 档案馆
anecdotal,adj. 轶事的
shorthand,n. 速记
exceptional,n. 超常的学生，异常的
rude,adj. 粗鲁的
resume,n. 摘要；[管理] 履历
bookrest,n. 阅书架
primitive,n. 原始人， 原始的
craft,n. 工艺
hire,n. 雇用
goggles,n. [安全] 护目镜
thereby,adv. 从而
stake,n. 桩
barge,n. 驳船
aerobics,n. 有氧运动法
shrub,n. 灌木
slat,n. 板条
legal,adj. 法律的
cinematography,n. 电影艺术
contribute,vt. 贡献
imagination,n. [心理] 想象力
bronchitis,n. [内科] 支气管炎
exacerbate,vt. 使加剧
intrusion,n. 侵入
cancel,vi. 取消
cork,n. 软木橡树皮
data,n. 数据（datum的复数）
buffalo,n. [畜牧][脊椎] 水牛
insufficient,adj. 不足的
grocery,n. 食品杂货（店）
humid,adj. 潮湿的
relation,n. 关系
confuse,vt. 使混乱
correspondence,n. 通信
allocation,n. 分配
entertainment,n. 娱乐
conquer,vt. 战胜
decoration,n. 装饰
reward,n. [劳经] 报酬
larva,n. [水产] 幼体
semester,n. 学期
offspring,n. 后代
occasional,adj. 偶然的
crater,n. 火山口
ensue,vi. 跟着发生
instruct,vt. 指导
declaration,n. （纳税品等的）申报
flexibility,n. 灵活性
native,adj. 本国的
significant,n. 象征
loyalty,n. 忠诚
conditioner,n. 调节器
reduce,vi. 减少
controversy,n. 争论
dwell,vi. 居住
sensation,n. 感觉
scrap,n. 碎片
anxious,adj. 焦虑的
recipient,n. 容器
identical,n. 完全相同的， 同一的
clay,n. [土壤] 粘土
rival,n. 对手
tropospheric,adj. 对流层的
attraction,n. 吸引
earthwork,n. [建] 土方工程
surround,n. 围绕物
vt. 围绕
impression,n. 印象；效果
horrify,vt. 使恐惧
introduction,n. 介绍
compact,n. 合同
enquire,vi. 询问
onwards,adv. 向前
memorandum,n. 备忘录
rectangular,adj. 矩形的
kidney,n. [解剖] 肾脏
standpoint,n. 立场
curative,n. 药品
predominantly,adv. 主要地
clutch,n. 离合器
combine,n. 联合收割机，使联合
chart,n. 图表
asthma,n. [内科][中医] 哮喘
signature,n. 署名
occasion,n. 时机
mineral,n. 矿物
invaluable,adj. 无价的
recover,n. 恢复，重获
moderation,n. 适度
documentation,n. 文件
critical,adj. 鉴定的，批评的
vocational,adj. 职业的
summary,n. 概要，总结
remove,n. 移动；距离
coffer,n. 围堰
bound,n. 范围
trinket,n. 小装饰品
expire,vi. 期满
accessible,adj. 易接近的
backbone,n. 支柱；决心
attribute,n. 属性
magnitude,n. 大小
compatible,adj. 兼容的
entrepreneur,n. 企业家
proposal,n. 提议
coach,n. 教练
fatal,adj. 致命的
currency,n. 货币
disapprove,vi. 不赞成
complain,vi. 投诉
fact sheet,资料页
audacious,adj. 无畏的
disrupt,vt. 破坏；使瓦解
tramp,n. 流浪者， 流浪；践踏
pest,n. 害虫
inflation,n. 膨胀
statement,n. 声明；陈述
amount,n. 数量；总额
given,prep. 考虑到，给予
advanced,adj. 先进的
milestone,n. 里程碑
crank,n. 曲柄
lexicographer,
bunch,n. 群
costume,n. 服装
scare,n. 恐慌
manipulate,vt. 操纵
juvenile,adj. 青少年的
phenomenon,n. 现象
freight,n. 货运
vulnerable,adj. 易受攻击的
steam,n. 蒸汽；精力，蒸汽的
valuable,n. 贵重物品，有价值的
presumably,adv. 大概
sanctuary,n. 避难所
bring out,na. 公布
arithmetic,n. 算术
request,n. 请求；需要，要求
dash,n. 破折号
treatment,n. 治疗
coarse,adj. 粗糙的
insecure,adj. 不安全的
linen,n. 亚麻布
inspiration,n. 灵感
generous,adj. 慷慨的
cultivate,vt. 培养
campaign,n. 运动
disorder,n. 混乱
spot,n. 地点
outcome,n. 结果
aggravate,vt. 加重
deception,n. 欺骗
sharpen,vt. 削尖
practical,adj. 实际的
pliable,adj. 柔韧的
disposal,n. 处理
subsidiary,n. 子公司
cautious,adj. 谨慎的
pattern,n. 模式
terrain,n. [地理] 地形
darkroom,n. 暗房
kneel,vi. 跪下
overwhelm,vt. 淹没
contempt,n. 轻视
recognize,vt. 认出
badge,n. 徽章
economic,adj. 经济的
feeble,adj. 微弱的
virtue,n. 美德
fibre,n. 纤维
pulverise,
inductive reasoning,
fertilise,vt. 使受精
ration,n. 定量
debt,n. 债务
attractive,adj. 吸引人的
conquest,n. 征服
sophisticate,n. 久经世故的人
snap,n.劈啪声；突然折断，突然的
express,n. 快车
identifiable,adj. 可辨认的
nominal,adj. 名义上的
bump into,v. 偶然碰到
graphology,n. 笔迹学
register,n. 登记
extremely,adv. 非常
rot,n. 腐烂
ambulance,n. [车辆][医] 救护车
miserable,adj. 悲惨的
continuous,adj. 连续的
divide,n. [地理] 分水岭
gross,n. 总额
cloakroom,n. 衣帽间
short-term,
refusal,n. 拒绝
coupon,n. 息票
tome,n. 册
toxin,n. 毒素
simultaneously,
ridiculous,adj. 可笑的
chip,n. 芯片；碎片；食物薄片

polish,n. 磨光
wonder,n. 惊奇
scholarship,n. 奖学金；学识
familiarise,
expectancy,n. 期望
shilling,
blueprint,n. 蓝图
interplay,n. 相互影响
convenient,adj. 方便的
genuine,adj. 真实的
attentive,adj. 留意的
personal,n. 人事消息栏
vitality,n. 活力
advisable,adj. 明智的
bankrupt,
deplete,vt. 耗尽
influence,n. 影响
fantasy,n. 幻想
tragic,adj. 悲剧的；悲痛的
splint,n. 夹板
foam,n. 泡沫
occupation,n. 职业
format,n. 格式
bachelor,n. 学士
typhoon,
appointment,n. 任命
slope,n. 斜坡
complex,n. 复合体
overhead,adv. 在头顶上
prey,n. 捕食
catalogue,n. 目录
prerequisite,
assessment,n. 评定
suggest,vt. 提议
volt,n. 伏特（电压单位）
weed,n. 杂草
screw,n. 螺旋；螺丝钉；吝啬鬼
enlighten,vt. 启发
textile,n. 纺织品
hesitate,vt. 踌躇
tutor,n. 导师
topsoil,n. 表层土
background,n. 背景
impossible,n. 不可能
promise,n. 许诺
battery,n. [电] 电池
thunder,n. 雷
delicate,adj. 微妙的；精美的
account,n. 账户；解释；账目
booklet,
layout,n. 布局
venture,n. 企业
shrink,vi. 收缩；畏缩
gland,
curriculum,
shortage,n. 缺乏
accreditation,n. 委派
clerk,n. 职员
attach,vi. 附加
flip,n. 弹
comment,n. 评论
emphasize,vt. 强调
flame,n. 火焰
foresee,vt. 预见
historic,adj. 有历史意义的
provision,n. 规定
president,n. 总统
internist,
reception,n. 接待
suspend,vt. 延缓
explorer,n. 探险家
untrustworthy,adj. 靠不住的
prospective,n. 预期
percentage,n. 百分比；百分率
clue,n. 线索
stammer,n. 口吃
hawk,n. 鹰；鹰派成员；兜售
swamp,n.沼泽；湿地,下沉swamped
jealous,adj. 妒忌的
favour,n. 偏爱
fickle,adj. 浮躁的
uphill,n. 上升；登高， 上坡的
succeed,vi. 成功
gender,n. 性别；性交，生（gendered）
consecutive,adj. 连贯的
diversion,n. 转移
donate,n. 捐赠
defence,n. 防御
volume,n. 量
refund,n. 退款；偿还
regardless,adj. 不管的；不顾的
emboss,vt. 使凸出
internationalist,n. 国际主义者
scatter,n. 分散；散播
appetite,n. 食欲
prevail,vi. 盛行
glossary,n. 术语（特殊用语）表
consolidation,n. 巩固
sulphuric acid,
goodwill,n. [贸易] 商誉
amass,vt. 积聚
federal,adv. 联邦政府地， 联邦的
consideration,n. 考虑
grip,n. 紧握
mansion,n. 大厦
galaxy,n. 银河
route,n. 路线
deficiency,n. 缺陷
opposite,adj. 相反的
sensational,adj. 轰动的
participation,n. 参与
relief,n. 救济；减轻
cultivation,n. 培养
pretension,n. 自负
harness,n. 马具
bent,n. 爱好
dormitory,n. 宿舍
stitch,n. 针脚
manual,adj. 手工的；体力的，手册
mite,n. 极小量
burglar,n. 夜贼
scheme,n. 计划
addition,n. 添加
sensory,adj. 感觉的
grove,n. 小树林
materialistic,adj. 唯物主义的
detach,vt. 分离
thirsty,adj. 口渴的
inspect,vt. 检查
seam,n. 缝
overwork,
parental,adj. 父母亲的
sediment,n. 沉积
various,adj. 各种各样的
resit,n. 补考
menace,n. 威胁
contain,vi. 含有
fasten,vt. 使固定
establish,vi. 建立
position,n. 位置
simulate,adj. 模仿的
scratch,n. 擦伤
flexitime,
assist,n. 帮助
mammal,
illegal,n. 非法移民
ultimately,adv. 最后
sinew,n. 筋
artificial,adj. 人造的
veil,n. 面纱
tend,vt. 照料
removal,n. 免职
parallel,n. 平行线；平行的；类似的
compel,vt. 强迫
immediately,adv. 立即
institute,n. 学会
serial,n. 电视连续剧
oversee,vt. 监督；俯瞰；偷看到
reinforce,n. 加强，加固材料
commitment,n. 承诺
donation,n. 捐款
curious,adj. 好奇的
jungle,n. 丛林
overdraft,n. [金融] 透支
optical,adj. 光学的；眼睛的
otherwise,adv. 否则；另外；另外的
possession,n. 拥有
however,adv. 无论如何，然而
cultural,adj. 文化的
morality,n. 道德；品行
transaction,n. 交易；事务
twofold,adj. 双重的
solution,n. 解决方案
embassy,n. 大使馆
remark,n. 注意
delay,n. 延期
congress,n. 国会
germ,n. [植] 胚芽
fashion,n. 时尚
carousel,
splash,n. 飞溅的水；污点
beforehand,adj. 提前的
spade,n. 铁锹
filter,n. 滤波器
aspect,n. 方面
objection,n. 异议
tunnel,n. 隧道
contrast,n. 对比
